timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1540109829783066,15,-8,-2,-6,0,-19,-9,-6
1540109829783066,-17,2,4,3,-5,5,-2,-15
1540109829784063,9,-7,8,9,5,6,-4,-1
1540109829784063,-8,30,-28,-18,-2,-11,-15,-6
1540109829805013,14,-21,17,13,3,3,12,5
1540109829805013,0,4,4,0,-6,5,1,-6
1540109829806026,-6,-2,17,8,3,4,2,-15
1540109829806026,20,4,13,13,1,-2,5,31
1540109829829041,-18,3,4,-17,-11,-3,-11,-17
1540109829829041,-4,-1,13,9,1,6,6,-4
1540109829829041,30,-28,-29,-4,-4,3,6,22
1540109829829041,-28,-20,-12,-8,-2,3,-2,1
1540109829842908,-16,11,11,-4,-7,-10,-9,-19
1540109829842908,8,-9,-22,9,9,-1,8,18
1540109829843907,7,9,30,8,5,2,-7,-10
1540109829843907,-42,-20,-11,-9,-3,-1,5,-11
1540109829865849,21,25,-2,0,-3,-2,4,29
1540109829865849,-4,21,6,-1,-8,-3,-5,-10
1540109829865983,-35,-2,8,4,5,5,-1,7
1540109829865983,27,-13,0,3,4,6,0,-8
1540109829888791,-21,-7,-1,-2,-3,-3,-5,-24
1540109829888791,11,-1,14,9,4,-1,5,9
1540109829889788,-6,15,1,5,5,15,3,22
1540109829889788,12,4,1,-3,3,6,-3,-30
1540109829902794,-37,-4,-6,-6,-4,-5,11,-3
1540109829902794,34,6,5,-2,0,4,-2,-14
1540109829903874,-59,-21,-31,-27,-16,-17,-9,3
1540109829903874,47,11,29,16,4,-4,8,2
1540109829925687,-2,-15,-14,-9,-2,-1,0,20
1540109829925687,-10,22,31,7,1,-1,-10,-14
1540109829926687,27,18,17,4,-2,-12,16,2
1540109829926687,4,1,-10,4,18,21,-5,-8
1540109829948625,14,-21,-39,-19,-12,-10,1,25
1540109829948625,-42,12,-6,-4,-8,-6,-10,-22
1540109829949622,64,29,39,28,7,-9,2,22
1540109829949622,-32,-11,-18,-14,-9,0,18,3
1540109829962623,-1,1,-1,7,2,-13,-5,-17
1540109829962623,5,2,-19,-9,1,9,-26,-8
1540109829963585,-18,-1,-30,-6,5,16,64,22
1540109829963585,-2,-14,-1,-1,-6,-8,-3,4
1540109829985709,24,9,-3,3,5,-31,2,26
1540109829985709,6,-12,-39,-16,-10,2,26,-9
1540109829986523,14,8,27,16,15,42,-89,-54
1540109829986523,-13,-6,-13,-6,12,-3,57,38
1540109830008467,-10,31,29,-10,-19,5,-5,7
1540109830008467,-3,-35,-3,6,-8,-37,-58,11
1540109830009465,22,-3,5,-5,-10,-23,-49,3
1540109830009465,-14,-5,0,5,-7,1,-71,-13
1540109830023448,-16,17,25,7,2,-13,38,-24
1540109830023448,-48,-34,0,2,4,22,15,9
1540109830023508,1,28,-18,-7,2,10,-8,-22
1540109830023508,12,-19,23,9,1,-7,-101,-28
1540109830045673,-21,-25,-27,-6,3,5,78,23
1540109830045673,22,10,9,-7,-6,-22,-78,10
1540109830046365,13,4,-7,-5,-10,-13,81,11
1540109830046365,-4,5,7,0,-3,22,-8,13
1540109830068444,24,-5,-19,7,26,17,-4,-27
1540109830068444,-3,3,11,5,12,28,-9,30
1540109830069319,-8,-18,-12,-11,-9,-10,6,4
1540109830069319,-4,-5,0,-2,-24,-37,-56,-12
1540109830083374,7,-24,44,19,20,14,50,22
1540109830083374,1,13,1,5,4,-2,55,-11
1540109830083374,-19,-16,-7,-9,0,-3,-43,-6
1540109830083374,13,18,-7,-7,-6,4,38,21
1540109830105208,-3,3,1,7,-1,4,-113,-25
1540109830105208,6,-7,12,1,3,-9,18,-8
1540109830106205,0,-10,-1,1,-2,-6,21,16
1540109830106205,0,12,3,1,0,-1,-13,-11
1540109830128183,5,-3,-16,-8,-3,1,-16,-3
1540109830128183,5,-1,4,0,4,7,4,-1
1540109830129144,-10,-13,-12,-2,-6,-12,-20,-12
1540109830129144,0,-5,3,0,-6,-12,6,0
1540109830143104,-1,10,0,3,-3,12,-7,1
1540109830143104,9,-2,-8,6,16,17,29,2
1540109830144101,-3,5,31,23,32,18,-20,-3
1540109830144101,2,-5,-9,-1,12,0,25,5
1540109830174077,5,-1,-9,-5,-9,-4,-8,4
1540109830174077,1,16,6,4,-16,-6,-19,-12
1540109830174151,-2,21,-24,-3,4,7,15,0
1540109830174151,5,7,8,26,8,5,12,8
1540109830188982,3,3,23,12,-6,-3,-22,-6
1540109830188982,-2,-3,-12,-45,-20,-33,-2,-10
1540109830189166,-1,0,41,67,22,17,6,7
1540109830189166,4,0,-35,-17,2,3,22,4
1540109830203122,-12,-33,-35,-77,-18,-5,-30,-9
1540109830203122,-2,-14,25,47,-2,-24,2,-2
1540109830203996,-5,-16,-13,-17,-22,-16,-3,3
1540109830203996,-4,4,27,31,-22,-3,-6,-8
1540109830224975,11,11,13,51,33,-7,-1,5
1540109830224975,-2,-10,-51,-69,8,12,1,-1
1540109830225884,1,-17,-16,7,-8,-15,-6,-4
1540109830225884,5,13,-9,-1,27,16,15,9
1540109830248859,2,9,26,5,-7,-3,-6,-2
1540109830248859,-4,13,21,64,19,10,-4,-6
1540109830248859,-12,8,-68,-58,-2,0,-18,-5
1540109830248859,-8,-22,-19,23,-32,-26,-19,-6
1540109830262783,10,14,-55,-97,-27,-11,44,-9
1540109830262783,6,31,25,70,33,21,0,6
1540109830263781,-17,-38,-28,-19,-32,-17,-8,-14
1540109830263781,-2,-24,-16,-100,-23,-7,-8,4
1540109830285760,0,-3,31,75,21,4,-3,0
1540109830285760,18,53,-100,-43,-11,-7,2,3
1540109830285953,1,22,54,116,41,-3,7,4
1540109830285953,-7,-15,-19,-38,9,-17,13,0
1540109830308662,11,-22,103,-38,-26,-8,-16,24
1540109830308662,-18,-38,82,-7,-18,-6,4,-26
1540109830309659,13,43,24,44,11,13,25,12
1540109830309659,22,8,-23,10,23,11,2,1
1540109830322626,-1,2,-76,59,15,2,-11,3
1540109830322626,-6,-21,41,-14,-8,-8,-23,13
1540109830330604,1,-45,108,-44,3,-8,-17,8
1540109830330604,22,-38,55,41,-15,-22,-17,0
1540109830345561,-60,23,40,26,8,-8,-29,-14
1540109830345561,43,-35,45,-6,9,-11,-7,14
1540109830346559,-4,11,-52,-22,-22,-24,-18,-10
1540109830346559,21,47,51,-1,15,9,15,21
1540109830368702,16,-12,14,44,15,5,-8,-1
1540109830368702,-27,-9,0,54,0,4,1,-7
1540109830369577,6,14,-79,-114,-13,3,16,3
1540109830369577,19,25,-41,1,-12,1,-10,-14
1540109830382485,-34,-18,-31,7,5,14,-2,2
1540109830382485,-16,5,-15,-20,1,22,7,-6
1540109830390457,22,-1,11,-4,-3,19,2,2
1540109830390457,-7,6,-36,-4,-1,17,5,2
1540109830405413,27,33,10,17,0,9,3,-3
1540109830405413,-73,-1,-74,-59,-15,9,8,-3
1540109830406405,5,21,-1,1,-4,14,2,-2
1540109830406405,-20,-8,-21,6,1,16,8,-7
1540109830428460,0,-20,-18,-34,4,25,4,-5
1540109830428460,5,-8,3,-36,-30,-11,-3,-11
1540109830429406,0,7,26,-2,-1,7,10,6
1540109830429406,-32,-8,1,35,18,17,14,-1
1540109830442306,19,10,40,24,11,8,7,3
1540109830442306,30,36,-17,8,3,11,3,4
1540109830450285,-15,-6,-51,-2,7,8,-4,-7
1540109830450285,11,-1,33,4,-4,-1,5,8
1540109830467238,3,4,9,-16,-8,5,8,-2
1540109830467238,-3,-57,90,25,18,18,14,3
1540109830467238,-7,-19,30,4,-4,1,-1,-2
1540109830467238,-23,-33,43,7,3,1,-6,-10
